track_id,track_name,album_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,date,streams
40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),Certified Lover Boy,Drake,78,291175,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,251537
3YJJjQPAbDT7mGpX3WtQ9A,Good Days,Good Days,SZA,73,279204,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,4,"['pop', 'r&b', 'rap']",2020-12-25,578442
0GAyuCo975IHGxxiLKDufB,l e t . g o . m y . h a n d (with Bas & 6LACK),The Off-Season,J. Cole,62,266291,0.583,0.625,1,-8.011,1,0.277,0.506,0.0,0.196,0.516,89.812,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-14,12668
2JPLbjOn0wPCngEot2STUS,Yonaguni,Yonaguni,Bad Bunny,75,206710,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,4,"['reggaeton', 'trap latino', 'urbano latino']",2021-06-04,7221
4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),Scary Hours 2,Drake,62,383037,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-03-05,446056
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,71,162680,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4,['modern alternative pop'],2021-01-02,70507
0BiK5BbYNFLb88CCOxBFJe,LUMBERJACK,CALL ME IF YOU GET LOST,"Tyler, The Creator",61,138312,0.386,0.762,9,-6.341,1,0.564,0.122,0.0,0.527,0.433,170.691,4,"['hip hop', 'rap']",2021-06-25,4412
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Merry Christmas,Mariah Carey,88,241107,0.336,0.627,7,-7.463,1,0.0384,0.164,0.0,0.0708,0.35,150.273,4,"['dance pop', 'pop', 'urban contemporary']",2017-01-01,66732
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),One Right Now,Post Malone,68,193507,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,4,"['dfw rap', 'melodic rap', 'pop', 'rap']",2021-11-05,6752
4XvcHTUfIlWfyJTRG0aqlo,2055,Still Sleep?,Sleepy Hallow,80,123987,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,4,"['brooklyn drill', 'nyc rap']",2021-06-07,30153
2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,Certified Lover Boy,Drake,66,204347,0.84,0.744,1,-4.751,1,0.113,0.0181,0.0,0.629,0.171,83.737,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,5566
6Im9k8u9iIzKMrmV7BWtlF,34+35,Positions,Ariana Grande,74,173711,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,4,['pop'],2020-10-30,22572
3JJL91ilRV6fXhKqu0FGXs,HOT WIND BLOWS (feat. Lil Wayne),CALL ME IF YOU GET LOST,"Tyler, The Creator",68,155293,0.371,0.75,7,-5.382,0,0.402,0.601,0.0,0.482,0.729,173.456,4,"['hip hop', 'rap']",2021-06-25,3067
5B0kgjHULYJhAQkK5XsMoC,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",73,121573,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,4,"['hip hop', 'rap']",2021-06-24,7451
1D3z6HTiQsNmZxjl7F7eoG,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,71,218802,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-14,3851
7FGdjbZ32vMybPuP0IuE7d,Back in Blood (feat. Lil Durk),Shiesty Season,Pooh Shiesty,67,184490,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,4,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']",2021-02-05,63260
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Christmas,Michael Bublé,60,206640,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775,3,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",2017-11-03,1152
4R67rQNSbbsR4TdUVOIdez,ESCAPE PLAN,ESCAPE PLAN / MAFIA,Travis Scott,66,149610,0.839,0.506,5,-6.714,0,0.133,0.00207,0.0,0.13,0.44,154.12,4,"['rap', 'slap house']",2021-11-05,35014
0uRrG2jRR5tuifsYIJHEao,Sand In My Boots,Dangerous: The Double Album,Morgan Wallen,73,202133,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,4,['contemporary country'],2021-01-08,99303
1d7q712nXjG98HiwHk7HFS,a p p l y i n g . p r e s s u r e,The Off-Season,J. Cole,54,177337,0.699,0.759,1,-5.302,1,0.311,0.0814,0.0,0.312,0.404,83.092,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-14,6676
4CkgMiMqZ5JzW9iYXSTMTL,I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Red (Taylor's Version),Taylor Swift,68,285107,0.391,0.715,0,-4.516,1,0.0495,0.167,0.0,0.183,0.473,149.654,3,['pop'],2021-11-12,64341
5NhcE6cuJjVYyVEKp97zOt,More Surprised Than Me,Dangerous: The Double Album,Morgan Wallen,58,157440,0.516,0.748,6,-6.049,1,0.0289,0.241,0.0,0.123,0.433,85.004,4,['contemporary country'],2021-01-08,807345
6v0UJD4a2FtleHeSYVX02A,I Drink Wine,30,Adele,71,376169,0.437,0.565,10,-5.596,1,0.0466,0.697,0.0,0.119,0.306,115.389,4,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,10219
3aQem4jVGdhtg116TmJnHz,What’s Next,Scary Hours 2,Drake,64,178154,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-03-05,117680
2HSmyk2qMN8WQjuGhaQgCk,Champagne Poetry,Certified Lover Boy,Drake,69,336511,0.423,0.667,6,-7.012,0,0.326,0.758,0.0,0.246,0.496,86.743,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,6970
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,75,187541,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,4,"['pop', 'rap']",2020-08-07,104711
7zQirOExB0VR8yWUOqYeio,DOLLA SIGN SLIME (feat. Megan Thee Stallion),MONTERO,Lil Nas X,51,145075,0.923,0.533,11,-6.016,0,0.262,0.0504,0.0,0.102,0.587,133.991,4,['lgbtq+ hip hop'],2021-09-17,116731
4n6NDfYake476trCjJRNl0,1 0 0 . m i l ‘ (with Bas),The Off-Season,J. Cole,56,163302,0.711,0.647,2,-5.667,0,0.0822,0.334,0.0,0.312,0.227,125.092,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-14,3714
2CYVETnhM9aytqrazYYwrK,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),Taylor Swift,68,277592,0.66,0.817,11,-6.269,0,0.0521,0.162,0.0,0.0667,0.714,135.942,4,['pop'],2021-04-09,265359
5W8jRrZ6tWrTrqnKRtIQBf,p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,68,218210,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,4,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",2021-05-14,3199
2gpWyfu7eZ01zzncHpxOtA,Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,6,234000,0.542,0.659,8,-7.289,1,0.0389,0.00279,0.0,0.105,0.109,120.122,4,"['edm', 'pop dance', 'progressive electro house']",2021-10-21,7886
13CVSGLSFl4UxpDVR6u3dq,Strangers By Nature,30,Adele,59,182163,0.387,0.253,5,-8.901,1,0.0336,0.798,0.000159,0.0848,0.134,68.004,5,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,13481
09u787BYeYIGd2mFIJ505t,Cry Your Heart Out,30,Adele,60,255278,0.756,0.713,7,-6.917,1,0.102,0.523,3.35e-06,0.248,0.59,125.064,4,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,37091
6w8ZPYdnGajyfPddTWdthN,Can I Get It,30,Adele,65,210384,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,4,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,10257
2BITQ360Knh6qNAOqR7Dyq,Miss The Rage (feat. Playboi Carti),Miss The Rage (feat. Playboi Carti),Trippie Redd,4,236883,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,4,"['melodic rap', 'rap', 'trap']",2021-05-07,3210837
