track_id,track_name,album_name,artists,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,date,streams
4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Kodak Black,66,200548,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",2021-11-22,61486
1aF9TeHZbe6OVo9dtjPuzK,Junya,Donda,Kanye West,0,147669,0.752,0.69,7,-3.948,1,0.0642,0.27,0.0,0.303,0.396,148.07,4,"['chicago rap', 'hip hop', 'rap']",2021-08-29,3078
34D6FJysnQioVingDKufuf,N 2 Deep,Certified Lover Boy,Drake,64,273578,0.507,0.429,2,-7.726,1,0.326,0.0518,0.0,0.109,0.0744,91.0,3,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,3995
2KnuaZYoGzDoHiBTNYOTXG,Billie Bossa Nova,Happier Than Ever,Billie Eilish,76,196731,0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023,4,"['art pop', 'pop']",2021-07-30,115373
4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),Certified Lover Boy,Drake,65,228461,0.73,0.576,2,-5.442,1,0.287,0.354,3.59e-05,0.15,0.155,92.131,4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",2021-09-03,4745
4ydmav4vl7hebadtfZtMrg,SIR BAUDELAIRE (feat. DJ Drama),CALL ME IF YOU GET LOST,"Tyler, The Creator",63,88625,0.467,0.635,7,-6.115,1,0.154,0.314,4.16e-06,0.844,0.51,127.596,3,"['hip hop', 'rap']",2021-06-24,7241
4btFHqumCO31GksfuBLLv3,Overpass Graffiti,=,Ed Sheeran,65,236907,0.52,0.849,9,-3.794,0,0.186,0.00253,0.0,0.119,0.774,175.908,4,"['pop', 'singer-songwriter pop', 'uk pop']",2021-10-28,8755
0sKEilrw1GrBlG6qsTCrP4,865,Dangerous: The Double Album,Morgan Wallen,67,190680,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003,4,['contemporary country'],2021-01-08,907152
2DuPBbS5mIldXnh7Wum8Cy,My Little Love,30,Adele,63,389107,0.339,0.492,1,-10.661,1,0.0559,0.829,0.00377,0.147,0.102,151.865,4,"['british soul', 'pop', 'pop soul', 'uk pop']",2021-11-18,12405
2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),Fearless (Taylor's Version),Taylor Swift,64,294419,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,4,['pop'],2021-04-09,1425676
73uxnSsFMeJ15POpd3zgrV,Believe What I Say,Donda,Kanye West,0,242400,0.595,0.656,7,-7.868,1,0.247,0.148,0.0,0.47,0.416,99.811,4,"['chicago rap', 'hip hop', 'rap']",2021-08-29,9179
